Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2008,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 261                                   ,   12,   8,   67,  1 057,   4,   ,   ,   ,   ,   ,   ,   ,   ,   14,   ,   ,   ,   ,   ,   ,   ,   ,
§ 264                                   ,   7,   1,   14,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 265/1                                 ,   9,   2,   22,   462,   ,   1,   ,   ,   ,   ,   ,   ,   ,   4,   1,   ,   ,   ,   ,   ,   ,   ,
§ 266                                   ,   6,   ,   ,  1 200,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 268                                   ,   11,   11,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 269/1A                                ,   4,   ,   ,   270,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/1                                 ,   103,   10,   10,   42,   4,   ,   ,   1,   ,   ,   5,   ,   ,   14,   ,   ,   2,   ,   ,   4,   ,   ,
§ 270/2                                 ,   556,   47,   8,  2 355,   10,   ,   ,   3,   ,   ,   21,   ,   ,   61,   ,   ,   6,   ,   ,   19,   ,   ,
§ 271/1                                 ,   7,   3,   43,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   3,   ,   ,   1,   ,   ,   ,   ,   ,
§ 270/2                                 ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   4,   ,   ,   ,   ,   ,   1,   ,   ,
§ 272                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 273                                   ,   2,   2,   100,   ,   ,   1,   ,   1,   ,   ,   ,   ,   ,   2,   1,   ,   1,   ,   ,   ,   ,   ,
§ 274                                   ,   120,   7,   6,   655,   2,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 275                                   ,   67,   7,   10,  1 125,   1,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 276                                   ,   382,   128,   34,  590 903,   35,   ,   ,   ,   ,   ,   ,   ,   ,   215,   ,   ,   ,   ,   ,   ,   ,   ,
§ 277                                   ,   623,   327,   52,  705 424,   91,   ,   ,   ,   ,   ,   ,   ,   ,   460,   ,   ,   ,   ,   ,   ,   ,   ,
